DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH
1934-12-01,.,5.5386,.,.,.,.
1935-01-01,.,5.9816,.,.,.,.
1935-02-01,.,6.0924,.,.,.,.
1935-03-01,.,6.0647,.,.,.,.
1935-04-01,.,5.9539,.,.,.,.
1935-05-01,.,5.9539,.,.,.,.
1935-06-01,.,6.0370,.,.,.,.
1935-07-01,.,6.0370,.,.,.,.
1935-08-01,.,6.2586,.,.,.,.
1935-09-01,.,6.4247,.,.,.,.
1935-10-01,.,6.6186,.,.,.,.
1935-11-01,.,6.7570,.,.,.,.
1935-12-01,.,6.8401,.,.,.,.
1936-01-01,.,6.7293,.,.,.,.
1936-02-01,.,6.5632,.,.,.,.
1936-03-01,.,6.6463,.,.,.,.
1936-04-01,.,7.0617,.,.,.,.
1936-05-01,.,7.2001,.,.,.,.
1936-06-01,.,7.3386,.,.,.,.
1936-07-01,.,7.4770,.,.,.,.
1936-08-01,.,7.5878,.,.,.,.
1936-09-01,.,7.7263,.,.,.,.
1936-10-01,.,7.8371,.,.,.,.
1936-11-01,.,8.0586,.,.,.,.
1936-12-01,.,8.3078,.,.,.,.
1937-01-01,.,8.2801,.,.,.,.
1937-02-01,.,8.3909,.,.,.,.
1937-03-01,.,8.5848,.,.,.,.
1937-04-01,.,8.5848,.,.,.,.
1937-05-01,.,8.6125,.,.,.,.
1937-06-01,.,8.5017,.,.,.,.
1937-07-01,.,8.5571,.,.,.,.
1937-08-01,.,8.5017,.,.,.,.
1937-09-01,.,8.2248,.,.,.,.
1937-10-01,.,7.6155,.,.,.,.
1937-11-01,.,6.8678,.,.,.,.
1937-12-01,.,6.2586,.,.,.,.
1938-01-01,.,6.1201,.,.,.,.
1938-02-01,.,6.0647,.,.,.,.
1938-03-01,.,6.0647,.,.,.,.
1938-04-01,.,5.9539,.,.,.,.
1938-05-01,.,5.8155,.,.,.,.
1938-06-01,.,5.8709,.,.,.,.
1938-07-01,.,6.2032,.,.,.,.
1938-08-01,.,6.5355,.,.,.,.
1938-09-01,.,6.7293,.,.,.,.
1938-10-01,.,6.8955,.,.,.,.
1938-11-01,.,7.1724,.,.,.,.
1938-12-01,.,7.2555,.,.,.,.
1939-01-01,.,7.2555,.,.,.,.
1939-02-01,.,7.3109,.,.,.,.
1939-03-01,.,7.3386,.,.,.,.
1939-04-01,.,7.3109,.,.,.,.
1939-05-01,.,7.2832,.,.,.,.
1939-06-01,.,7.4494,.,.,.,.
1939-07-01,.,7.6709,.,.,.,.
1939-08-01,.,7.7817,.,.,.,.
1939-09-01,.,8.2525,.,.,.,.
1939-10-01,.,8.6678,.,.,.,.
1939-11-01,.,8.8894,.,.,.,.
1939-12-01,.,8.8894,.,.,.,.
1940-01-01,.,8.7786,.,.,.,.
1940-02-01,.,8.5017,.,.,.,.
1940-03-01,.,8.3078,.,.,.,.
1940-04-01,.,8.4740,.,.,.,.
1940-05-01,.,8.7232,.,.,.,.
1940-06-01,.,9.0002,.,.,.,.
1940-07-01,.,9.1109,.,.,.,.
1940-08-01,.,9.1663,.,.,.,.
1940-09-01,.,9.3602,.,.,.,.
1940-10-01,.,9.4986,.,.,.,.
1940-11-01,.,9.7202,.,.,.,.
1940-12-01,.,10.0525,.,.,.,.
1941-01-01,.,10.3017,.,.,.,.
1941-02-01,.,10.6063,.,.,.,.
1941-03-01,.,10.9386,.,.,.,.
1941-04-01,.,10.9663,.,.,.,.
1941-05-01,.,11.4648,.,.,.,.
1941-06-01,.,11.5479,.,.,.,.
1941-07-01,.,11.6864,.,.,.,.
1941-08-01,.,11.8248,.,.,.,.
1941-09-01,.,11.8248,.,.,.,.
1941-10-01,.,11.9356,.,.,.,.
1941-11-01,.,11.9910,.,.,.,.
1941-12-01,.,12.1848,.,.,.,.
1942-01-01,.,12.4341,.,.,.,.
1942-02-01,.,12.6556,.,.,.,.
1942-03-01,.,12.7941,.,.,.,.
1942-04-01,.,12.4341,.,.,.,.
1942-05-01,.,12.4617,.,.,.,.
1942-06-01,.,12.4895,.,.,.,.
1942-07-01,.,12.7941,.,.,.,.
1942-08-01,.,13.1818,.,.,.,.
1942-09-01,.,13.4864,.,.,.,.
1942-10-01,.,13.9295,.,.,.,.
1942-11-01,.,14.2618,.,.,.,.
1942-12-01,.,14.5941,.,.,.,.
1943-01-01,.,14.7326,.,.,.,.
1943-02-01,.,15.1203,.,.,.,.
1943-03-01,.,15.2310,.,.,.,.
1943-04-01,.,15.4249,.,.,.,.
1943-05-01,.,15.5356,.,.,.,.
1943-06-01,.,15.4526,.,.,.,.
1943-07-01,.,15.9233,.,.,.,.
1943-08-01,.,16.2557,.,.,.,.
1943-09-01,.,16.6711,.,.,.,.
1943-10-01,.,16.9203,.,.,.,.
1943-11-01,.,17.1418,.,.,.,.
1943-12-01,.,16.9203,.,.,.,.
1944-01-01,.,17.1141,.,.,.,.
1944-02-01,.,17.2526,.,.,.,.
1944-03-01,.,17.2249,.,.,.,.
1944-04-01,.,17.2249,.,.,.,.
1944-05-01,.,17.1142,.,.,.,.
1944-06-01,.,17.0588,.,.,.,.
1944-07-01,.,17.0311,.,.,.,.
1944-08-01,.,17.2526,.,.,.,.
1944-09-01,.,17.1418,.,.,.,.
1944-10-01,.,17.1972,.,.,.,.
1944-11-01,.,17.0588,.,.,.,.
1944-12-01,.,17.0034,.,.,.,.
1945-01-01,.,16.8372,.,.,.,.
1945-02-01,.,16.7818,.,.,.,.
1945-03-01,.,16.6710,.,.,.,.
1945-04-01,.,16.3664,.,.,.,.
1945-05-01,.,15.9234,.,.,.,.
1945-06-01,.,15.5633,.,.,.,.
1945-07-01,.,15.2034,.,.,.,.
1945-08-01,.,13.6249,.,.,.,.
1945-09-01,.,12.4064,.,.,.,.
1945-10-01,.,11.9079,.,.,.,.
1945-11-01,.,12.3510,.,.,.,.
1945-12-01,.,12.4064,.,.,.,.
1946-01-01,.,11.7140,.,.,.,.
1946-02-01,.,11.1325,.,0.00000,.,.
1946-03-01,.,12.2956,.,0.00000,.,.
1946-04-01,.,12.0741,.,8.54701,.,.
1946-05-01,.,11.6310,.,0.00000,.,.
1946-06-01,.,12.3510,.,0.00000,.,.
1946-07-01,.,12.7664,.,0.00000,.,.
1946-08-01,.,13.2371,.,19.68504,.,.
1946-09-01,.,13.4864,.,0.00000,.,.
1946-10-01,.,13.7356,.,0.00000,.,.
1946-11-01,.,13.8187,.,0.00000,.,.
1946-12-01,.,13.9018,.,6.57895,.,.
1947-01-01,21.48,14.0679,.,0.00000,.,.
1947-02-01,21.62,14.1510,.,0.00000,.,.
1947-03-01,22.0,14.2341,.,0.00000,.,.
1947-04-01,22.0,14.1233,.,15.43210,.,.
1947-05-01,21.95,14.1787,.,0.00000,.,.
1947-06-01,22.08,14.1787,.,0.00000,.,.
1947-07-01,22.23,14.0956,.,0.00000,.,.
1947-08-01,22.4,14.1787,.,0.00000,.,.
1947-09-01,22.84,14.2895,.,0.00000,.,.
1947-10-01,22.91,14.4279,.,0.00000,.,.
1947-11-01,23.06,14.6218,.,10.69519,.,.
1947-12-01,23.41,14.6772,.,0.00000,.,.
1948-01-01,23.68,14.7603,.,24.15459,.,.
1948-02-01,23.67,14.7880,.,0.00000,.,.
1948-03-01,23.5,14.6218,.,0.00000,.,.
1948-04-01,23.82,14.6495,.,0.00000,.,.
1948-05-01,24.01,14.8987,.,0.00000,.,.
1948-06-01,24.15,15.0926,.,0.00000,.,.
1948-07-01,24.4,15.0926,.,0.00000,.,.
1948-08-01,24.43,15.0372,.,0.00000,.,.
1948-09-01,24.36,14.9264,.,0.00000,.,.
1948-10-01,24.31,15.0372,.,0.00000,.,.
1948-11-01,24.16,14.8433,.,0.00000,.,.
1948-12-01,24.05,14.7049,.,0.00000,.,.
1949-01-01,24.01,14.5664,.,0.00000,.,.
1949-02-01,23.91,14.4280,.,0.00000,.,.
1949-03-01,23.91,14.1510,.,0.00000,.,.
1949-04-01,23.92,14.0679,.,0.00000,.,.
1949-05-01,23.91,13.8741,.,0.00000,.,.
1949-06-01,23.92,13.8464,.,0.00000,.,.
1949-07-01,23.7,13.8187,.,0.00000,.,.
1949-08-01,23.7,13.9572,.,0.00000,.,.
1949-09-01,23.75,14.0956,.,0.00000,.,.
1949-10-01,23.67,13.5695,.,0.00000,.,.
1949-11-01,23.7,13.9295,.,0.00000,.,.
1949-12-01,23.61,14.1787,.,0.00000,.,.
1950-01-01,23.51,14.4279,.,0.00000,.,.
1950-02-01,23.61,14.4833,.,0.00000,.,.
1950-03-01,23.64,14.9541,.,0.00000,.,.
1950-04-01,23.65,15.4526,.,0.00000,.,.
1950-05-01,23.77,15.8126,.,0.00000,.,.
1950-06-01,23.88,16.2834,.,0.00000,.,.
1950-07-01,24.07,16.8095,.,0.00000,.,.
1950-08-01,24.2,17.3357,.,0.00000,.,.
1950-09-01,24.34,17.2249,.,0.00000,.,.
1950-10-01,24.5,17.3357,.,0.00000,.,.
1950-11-01,24.6,17.3080,.,0.00000,.,.
1950-12-01,24.98,17.6126,.,0.00000,.,.
1951-01-01,25.38,17.6680,.,0.00000,.,.
1951-02-01,25.83,17.7788,.,0.00000,.,.
1951-03-01,25.88,17.8618,.,0.00000,.,.
1951-04-01,25.92,17.8895,.,0.00000,.,.
1951-05-01,25.99,17.8342,.,0.00000,.,.
1951-06-01,25.93,17.7511,.,0.00000,.,.
1951-07-01,25.91,17.4741,.,0.00000,.,.
1951-08-01,25.86,17.3080,.,0.00000,.,.
1951-09-01,26.03,17.4188,.,0.00000,.,.
1951-10-01,26.16,17.3911,.,0.00000,.,.
1951-11-01,26.32,17.5295,.,0.00000,.,.
1951-12-01,26.47,17.6403,.,0.00000,.,.
1952-01-01,26.45,17.8341,.,0.00000,.,.
1952-02-01,26.41,17.9449,.,0.00000,.,.
1952-03-01,26.39,18.0003,.,0.00000,.,.
1952-04-01,26.46,17.8341,.,0.00000,.,.
1952-05-01,26.47,17.6680,.,0.00000,.,.
1952-06-01,26.53,17.5018,.,0.00000,.,.
1952-07-01,26.68,17.2249,.,0.00000,.,.
1952-08-01,26.69,18.3326,.,0.00000,.,.
1952-09-01,26.63,18.9972,.,0.00000,.,.
1952-10-01,26.69,19.1911,.,0.00000,.,.
1952-11-01,26.69,19.5788,.,0.00000,.,.
1952-12-01,26.71,19.6896,.,0.00000,.,.
1953-01-01,26.64,19.7449,.,0.00000,.,.
1953-02-01,26.59,19.8557,.,0.00000,.,.
1953-03-01,26.63,20.0219,.,0.00000,.,.
1953-04-01,26.69,20.1050,.,0.00000,.,.
1953-05-01,26.7,20.2157,.,0.00000,.,.
1953-06-01,26.77,20.1326,.,9.72763,.,.
1953-07-01,26.79,20.3819,.,0.00000,.,.
1953-08-01,26.85,20.2711,.,0.00000,.,.
1953-09-01,26.89,19.8557,.,0.00000,.,.
1953-10-01,26.95,19.6896,.,0.00000,.,.
1953-11-01,26.85,19.2188,.,0.00000,.,.
1953-12-01,26.87,18.7480,.,0.00000,.,.
1954-01-01,26.94,18.6095,.,0.00000,.,.
1954-02-01,26.99,18.6649,.,0.00000,.,.
1954-03-01,26.93,18.5542,.,0.00000,.,.
1954-04-01,26.86,18.4434,.,0.00000,.,.
1954-05-01,26.93,18.5542,.,0.00000,.,.
1954-06-01,26.94,18.6096,.,0.00000,.,.
1954-07-01,26.86,18.6372,.,0.00000,.,.
1954-08-01,26.85,18.6095,.,0.00000,.,.
1954-09-01,26.81,18.6372,.,0.00000,.,.
1954-10-01,26.72,18.8588,.,0.00000,.,.
1954-11-01,26.78,19.1634,.,0.00000,.,.
1954-12-01,26.77,19.4126,.,0.00000,.,.
1955-01-01,26.77,19.8557,.,0.00000,.,.
1955-02-01,26.82,20.1050,.,0.00000,.,.
1955-03-01,26.79,20.5757,.,0.00000,.,.
1955-04-01,26.79,20.8250,.,0.00000,.,.
1955-05-01,26.77,21.1573,.,0.00000,.,.
1955-06-01,26.71,21.1850,.,0.00000,.,.
1955-07-01,26.76,21.3511,.,0.00000,.,.
1955-08-01,26.72,21.3234,.,0.00000,.,.
1955-09-01,26.85,21.4619,.,0.00000,.,.
1955-10-01,26.82,21.8219,.,0.00000,.,.
1955-11-01,26.88,21.8773,.,0.00000,.,.
1955-12-01,26.87,21.9604,.,0.00000,.,.
1956-01-01,26.83,22.0988,.,0.00000,.,.
1956-02-01,26.86,21.9050,.,0.00000,.,.
1956-03-01,26.89,21.9050,.,0.00000,.,.
1956-04-01,26.93,22.0712,.,0.00000,.,.
1956-05-01,27.03,21.8773,.,0.00000,.,.
1956-06-01,27.15,21.6835,.,0.00000,.,.
1956-07-01,27.29,21.0188,.,0.00000,.,.
1956-08-01,27.31,21.8773,.,0.00000,.,.
1956-09-01,27.35,22.3758,.,0.00000,.,.
1956-10-01,27.51,22.5696,.,0.00000,.,.
1956-11-01,27.51,22.3758,.,0.00000,.,.
1956-12-01,27.63,22.7081,.,0.00000,.,.
1957-01-01,27.67,22.6250,.,0.00000,.,.
1957-02-01,27.8,22.8466,.,8.86525,.,.
1957-03-01,27.86,22.8189,.,0.00000,.,.
1957-04-01,27.93,22.5142,.,0.00000,.,.
